diagnosis,count,percentage,global,irrelevant,local
probable old extensive infarction,14,0.0,1,0,0
anterolateral st-t changes suggest myocardial infarct,14,0.0,1,0,1
old anteroseptal infarction,14,0.0,1,0,0
anterior st-t changes are borderline abnormal,14,0.0,1,0,1
partial missing lead(s): v1,14,0.0,0,1,0
predominant 3:1 av block,14,0.0,1,0,0
sinus arrhythmia with pvcs with 1st degree a-v block.,14,0.0,1,0,1
sinus bradycardia with frequent pacs,14,0.0,1,0,1
"anterior infarct, recent",14,0.0,1,0,0
lead(s) i were not used for morphology analysis,14,0.0,0,1,0
regard as borderline change in view of normal clinical findings,14,0.0,1,0,0
anterior t wave changes,14,0.0,0,0,1
atrial fibrillation with uncontrolled ventricular response with pvc(s) or aberrant ventricular conduction.,13,0.0,1,0,1
sinus tachycardia with pvcs with borderline 1st degree a-v block.,13,0.0,1,0,1
anterolateral t wave changes suggest myocardial infarct,13,0.0,1,0,1
anteroseptal st changes,13,0.0,0,0,1
--- similar qrs in v leads ---,13,0.0,0,0,1
anterior st changes suggest myocardial injury/ischemia,13,0.0,1,0,1
these represent equivocal evidence of myocardial ischemia,13,0.0,1,0,0
inferior and anterior st-t changes suggest myocardial infarct,13,0.0,1,0,1
anteroseptal st changes may be due to hypertrophy and/or ischemia,13,0.0,1,0,1
old anterior infarct,13,0.0,1,0,0
possible atrial flutter with frequent pvcs or aberrant ventricular conduction,13,0.0,1,0,1
sinus bradycardia with pvc(s) with pac(s) with borderline 1st degree a-v block,13,0.0,1,0,1
sinus rhythm with non-sustained ventricular tachycardia.,13,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with frequent multifocal pvcs.,13,0.0,1,0,1
"minimal st elevation, anterior leads",13,0.0,0,0,1
q waves in lateral leads,13,0.0,0,0,1
atrial flutter with pvcs or aberrant ventricular conduction,13,0.0,1,0,1
technical error,13,0.0,0,1,0
possible old lateral infarct,13,0.0,1,0,0
abnormally tall r wave in v1,13,0.0,0,0,1
atrial fibrillation with slow ventricular response with frequent pvcs or aberrant ventricular conduction,13,0.0,1,0,1
inferior and septal st-t changes suggest myocardial injury/ischemia,13,0.0,1,0,1
atrial flutter with slow ventricular response with high degree a-v block.,13,0.0,1,0,0
*unconfirmedanalysis*,13,0.0,0,1,0
septal and lateral st-t changes are borderline abnormal,13,0.0,1,0,1
"anterolateral infarct, recent",13,0.0,1,0,0
"inferoposterior infarct, age indeterminate",13,0.0,1,0,0
lead(s) unsuitable for analysis: i iii avl v1,13,0.0,0,1,0
extensive st-t changes are borderline abnormal for age/sex,13,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes,13,0.0,1,0,1
lateral t wave changes are abnormal for age/sex,13,0.0,0,0,1
right superior axis,13,0.0,1,0,0
"rsr' in v1 or v2, probably normal variant",12,0.0,0,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with multifocal pvcs,12,0.0,1,0,1
possible atrial flutter with frequent multifocal pvcs or aberrant ventricular conduction,12,0.0,1,0,1
septal st elevation,12,0.0,0,0,1
atrial fibrillation with slow ventricular response with frequent pvcs or aberrant ventricular conduction.,12,0.0,1,0,1
marked st depression in v lead,12,0.0,0,0,1
sinus rhythm with pvcs with pacs with 1st degree a-v block.,12,0.0,1,0,1
changes are probably due to lvh but consider anteroseptal infarct,12,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with interpolated pvc(s).,12,0.0,1,0,1
lead(s) unsuitable for analysis: v1 v3,12,0.0,0,1,0
frequent multifocal pvcs,12,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pac(s) with 1st degree a-v block.,12,0.0,1,0,1
probable atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia.,12,0.0,1,0,0
possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes.,12,0.0,1,0,1
probable poor r wave progression but consider anteroseptal infarct,12,0.0,1,0,1
inferior/lateral st-t changes may be due to myocardial infarct or cva,12,0.0,1,0,1
these changes could be a normal variant in young women,12,0.0,1,0,0
sinus rhythm with frequent multifocal pvcs with borderline 1st degree a-v block.,12,0.0,1,0,1
faulty v5 - omitted from analysis,12,0.0,0,1,0
sinus rhythm with aberrantly conducted supraventricular complexes with interpolated pvc(s),12,0.0,1,0,1
possible ectopic atrial rhythm with bigeminal pacs.,12,0.0,1,0,1
irregular ectopic atrial rhythm with pvc(s).,12,0.0,1,0,1
atrial flutter with slow ventricular response with 4:1 a-v block.,12,0.0,1,0,0
sinus rhythm with multifocal pvcs with borderline 1st degree a-v block.,12,0.0,1,0,1
lead(s) unsuitable for analysis: v1 v6,12,0.0,0,1,0
sinus arrhythmia with interpolated pvcs.,12,0.0,1,0,1
atrial flutter with multifocal pvcs or aberrant ventricular conduction,12,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with pvcs or aberrant ventricular conduction.,12,0.0,1,0,1
anterolateral infarction - age undetermined,12,0.0,1,0,0
consider anterolateral infarct - age undetermined,12,0.0,1,0,0
possible atrial flutter with multifocal pvcs or aberrant ventricular conduction.,12,0.0,1,0,1
inferior+ant/septal st-t changes may be due to myocardial ischemia,12,0.0,1,0,1
possible ectopic atrial tachycardia with pacs,12,0.0,1,0,1
possible lvh with repolarization abnormality,12,0.0,1,0,1
atrial flutter with pvc(s).,12,0.0,1,0,1
atrial fibrillation with slow ventricular response with paroxysmal idioventricular rhythm,12,0.0,1,0,0
q in lateral + anteroseptal lead,12,0.0,0,0,1
inferior st-t changes may be a normal variant for a female of this age,12,0.0,0,0,1
anterior t wave changes suggest myocardial infarct,12,0.0,1,0,1
suggests early repolarization,12,0.0,1,0,0
possible ectopic atrial bradycardia with pacs.,12,0.0,1,0,1
consider pericarditis,12,0.0,1,0,0
sinus bradycardia with interpolated pvc(s) with borderline 1st degree a-v block.,11,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with pacs,11,0.0,1,0,1
lead(s) unsuitable for analysis: avr v1,11,0.0,0,1,0
sinus rhythm with aberrantly conducted supraventricular complexes with frequent multifocal pvcs,11,0.0,1,0,1
nonspecific repolarization abnormalities,11,0.0,0,0,1
possible ectopic atrial rhythm with interpolated pvc(s),11,0.0,1,0,1
frequent premature ventricular contractions,11,0.0,1,0,1
sinus bradycardia with pvc(s) with pac(s) with 1st degree a-v block,11,0.0,1,0,1
anterolateral st changes may be due to myocardial ischemia,11,0.0,1,0,1
atrial fibrillation with non-sustained ventricular tachycardia,11,0.0,1,0,0
atrial fibrillation with rapid ventricular response with intermittent conduction defect.,11,0.0,1,0,0
lead(s) unsuitable for analysis: v2 v6,11,0.0,0,1,0
sinus bradycardia with aberrantly conducted supraventricular complexes with borderline 1st degree a-v block,11,0.0,1,0,1
atrial flutter with rapid ventricular response with pvcs.,11,0.0,1,0,1
possible atrial flutter with multifocal pvcs or aberrant ventricular conduction,11,0.0,1,0,1
sinus tachycardia with occasional pacs.,11,0.0,1,0,1
consider anteroseptal infarct - although changes v2-v4 may be due to lvh also present,11,0.0,1,0,1
inferior and ant/septal st-t changes suggest myocardial infarct,11,0.0,1,0,1
possible atrial flutter with rapid ventricular response with frequent multifocal pvcs or aberrant ventricular conduction,11,0.0,1,0,1
"nonspecific repol abnormality, anterior leads",11,0.0,0,0,1
inferior and anterior t wave changes,11,0.0,0,0,1
ant/septal and lateral st-t changes are borderline abnormal,11,0.0,1,0,1
sinus tachycardia with non-sustained ventricular tachycardia,11,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with 2nd degree (mobitz ii) sa block with 1st degree a-v block,11,0.0,1,0,0
atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia.,11,0.0,1,0,0
atrial fibrillation with rapid ventricular response with frequent multifocal pvcs,11,0.0,1,0,1
lead(s) unsuitable for analysis: v4 v6,11,0.0,0,1,0
"borderline t abnormalities, inferior leads",11,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avl v3,11,0.0,0,1,0
sinus bradycardia with sinus arrhythmia with pacs,11,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avl v4,11,0.0,0,1,0
inferior/lateral st changes may be due to myocardial ischemia,11,0.0,1,0,1
extensive infarct with acute inferior changes,11,0.0,1,0,1
"sequence error: v3,v4 omitted",11,0.0,0,1,0
lead(s) unsuitable for analysis: v1 v5,11,0.0,0,1,0
atrial fibrillation with slow ventricular response with frequent multifocal pvcs or aberrant ventricular conduction,11,0.0,1,0,1
long r-r with ventricular escape,11,0.0,1,0,1
old extensive infarction,11,0.0,1,0,0
inferior/lateral st-t changes may be a normal variant for a female of this age,11,0.0,0,0,1
premature atrial contractions,11,0.0,1,0,1
--- technically unsatisfactory tracing ---,11,0.0,0,1,0
atrial fibrillation with slow ventricular response with multifocal pvcs,11,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pacs,11,0.0,1,0,1
atrial fibrillation with rapid ventricular response with frequent multifocal pvcs.,11,0.0,1,0,1
sinus bradycardia with interpolated pvc(s) with borderline 1st degree a-v block,11,0.0,1,0,1
inferior st changes may be due to hypertrophy and/or ischemia,11,0.0,1,0,1
lateral st changes are borderline abnormal,11,0.0,1,0,1
low r waves + extensive q waves,11,0.0,0,0,1
irregular ectopic atrial rhythm with pvcs,11,0.0,1,0,1
repeat ecg advised,11,0.0,0,1,0
sinus rhythm with frequent multifocal pvcs with pacs.,11,0.0,1,0,1
sinus rhythm with frequent pacs with 1st degree a-v block,11,0.0,1,0,1
inferior and lateral st elevation - probable extension of infarct,11,0.0,1,0,1
multifocal premature ventricular contractions,10,0.0,1,0,1
lateral infarct - probably acute,10,0.0,1,0,0
inferior st-t changes may be related to electronic pacemaker,10,0.0,0,0,1
lead(s) unsuitable for analysis: i ii iii avr avl avf v3 v4 v5 v6,10,0.0,0,1,0
sinus rhythm with aberrantly conducted supraventricular complexes with pvcs with pacs.,10,0.0,1,0,1
sinus tachycardia with pvcs with borderline 1st degree a-v block,10,0.0,1,0,1
sinus arrhythmia with aberrantly conducted supraventricular complexes with pvc(s),10,0.0,1,0,1
abnormally high p amplitudes,10,0.0,0,0,1
sinus bradycardia with sinus arrhythmia with frequent pvcs,10,0.0,1,0,1
anterolateral st elevation - probable post operative pericarditis,10,0.0,1,0,1
sinus tachycardia with frequent multifocal pvcs with pacs.,10,0.0,1,0,1
anterior t wave changes suggest myocardial infarction,10,0.0,1,0,1
atrial fibrillation with slow ventricular response with multifocal pvcs.,10,0.0,1,0,1
possible ectopic atrial rhythm with frequent multifocal pvcs.,10,0.0,1,0,1
atrial flutter with rapid ventricular response with pvcs or aberrant ventricular conduction,10,0.0,1,0,1
anterolateral st-t changes suggest myocardial infarction,10,0.0,1,0,1
atrial flutter with rapid ventricular response with pvcs,10,0.0,1,0,1
inferior and ant/septal st elevation - cannot rule out myocardial injury,10,0.0,1,0,1
sinus pause with ventricular escape,10,0.0,1,0,1
- ventricular fusion complexes or aberrant ventricular conduction,10,0.0,1,0,1
anterolateral st-t changes may be related to electronic pacemaker,10,0.0,0,0,1
sinus tachycardia with frequent pvcs with pacs.,10,0.0,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes with multifocal pvcs.,10,0.0,1,0,1
probable acute septal infarct,10,0.0,1,0,0
"borderline st depression, inferior leads",10,0.0,0,0,1
septal st-t changes are normal for age,10,0.0,0,0,1
extensive i.v. conduction defect,10,0.0,1,0,1
sinus bradycardia with multifocal pvcs.,10,0.0,1,0,1
possible ectopic atrial bradycardia with pvcs.,10,0.0,1,0,1
probable atrial fibrillation with frequent pvcs.,10,0.0,1,0,1
sinus tachycardia with frequent multifocal pvcs with pac(s),10,0.0,1,0,1
recent anteroseptal infarct,10,0.0,1,0,0
sinus rhythm with multifocal pvcs with pacs,10,0.0,1,0,1
abnormal p waves,10,0.0,0,0,1
sinus bradycardia with frequent pvcs with 1st degree a-v block,10,0.0,1,0,1
inferior st-t changes may be a normal variant for a male of this age,10,0.0,0,0,1
lead(s) unsuitable for analysis: i ii iii avr avl avf v1 v2 v4 v5 v6,10,0.0,0,1,0
sinus rhythm with multifocal pvcs with pacs.,10,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with pvcs or aberrant ventricular conduction,10,0.0,1,0,1
probable atrial fibrillation with slow ventricular response with pvc(s) or aberrant ventricular conduction.,10,0.0,1,0,1
sinus arrhythmia with multifocal pvcs with 1st degree a-v block.,9,0.0,1,0,1
inferior and septal st elevation - cannot rule out myocardial injury,9,0.0,1,0,1
"anteroseptal st elevation, consider recent infarction",9,0.0,1,0,1
changes in v2 are probably related to poor r wave progression but septal infarction cannot be excluded,9,0.0,1,0,1
consider acute infarction,9,0.0,1,0,0
atrial fibrillation with non-sustained ventricular tachycardia.,9,0.0,1,0,0
atrial fibrillation with slow ventricular response with multifocal pvcs or aberrant ventricular conduction.,9,0.0,1,0,1
inferior+ant/septal t wave change are nonspecific,9,0.0,0,0,1
sinus rhythm with frequent pacs with borderline 1st degree a-v block,9,0.0,1,0,1
sinus tachycardia with frequent pvcs with borderline 1st degree a-v block,9,0.0,1,0,1
atrial fibrillation with slow ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction.,9,0.0,1,0,1
possible ectopic atrial rhythm with pvcs with pacs,9,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pacs.,9,0.0,1,0,1
- 3:1 a-v block,9,0.0,1,0,0
sinus rhythm with occasional pacs with borderline 1st degree a-v block,9,0.0,1,0,1
possible ectopic atrial bradycardia with interpolated pvc(s),9,0.0,1,0,1
sinus arrhythmia with frequent pvcs with 1st degree a-v block.,9,0.0,1,0,1
bigeminal pacs,9,0.0,1,0,1
anterolateral t wave changes suggest myocardial injury/ischemia,9,0.0,1,0,1
ant/septal+lateral st changes are nonspecific,9,0.0,0,0,1
sinus bradycardia with sinus arrhythmia with pacs with 1st degree a-v block.,9,0.0,1,0,1
sinus rhythm with multifocal interpolated pvcs.,9,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avl v1,9,0.0,0,1,0
extensive st-t changes may be due to myocardial infarction or cva,9,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pacs.,9,0.0,1,0,1
atrial flutter with 2:1 a-v block,9,0.0,1,0,0
possible extensive infarct with acute inferior changes,9,0.0,1,0,1
lead(s) unsuitable for analysis: avr v6,9,0.0,0,1,0
q equivalent in lateral leads,9,0.0,0,0,1
inferior/lateral t changes may be normal for age,9,0.0,0,0,1
inferior/lateral t changes are abnormal,9,0.0,0,0,1
lead(s) unsuitable for analysis: v3 v6,9,0.0,0,1,0
septal t wave changes are abnormal,9,0.0,0,0,1
lateral st-t changes are abnormal for age/sex,9,0.0,0,0,1
- demand atrial pacing and ineffective stimuli,9,0.0,1,0,1
sinus bradycardia with interpolated pvcs with borderline 1st degree a-v block,9,0.0,1,0,1
probable atrial fibrillation with uncontrolled ventricular response with pvcs.,9,0.0,1,0,1
lead(s) unsuitable for analysis: ii avr,9,0.0,0,1,0
sinus tachycardia with multifocal pvcs with pac(s).,9,0.0,1,0,1
intermittent conduction defect,9,0.0,1,0,0
lead(s) unsuitable for analysis: i ii iii avl avf,9,0.0,0,1,0
possible acute inferior infarction,9,0.0,1,0,0
inferior/lateral st-t changes are abnormal for age/sex,9,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with non-sustained ventricular tachycardia,9,0.0,1,0,0
lead(s) unsuitable for analysis: v3 v4 v5 v6,9,0.0,0,1,0
sinus bradycardia with aberrantly conducted supraventricular complexes with 1st degree a-v block,9,0.0,1,0,1
consider acute anterolateral infarction,9,0.0,1,0,0
irregular ectopic atrial rhythm with pvcs.,9,0.0,1,0,1
- demand a-v sequential implanted pacemaker activity,9,0.0,1,0,1
possible ectopic atrial rhythm with multifocal pvcs.,9,0.0,1,0,1
abnormally high r:s ratio in v1,9,0.0,0,0,1
atrial flutter with pvcs or aberrant ventricular conduction.,8,0.0,1,0,1
sinus rhythm with frequent multifocal pvcs with pac(s).,8,0.0,1,0,1
atrial fibrillation with rapid ventricular response with paroxysmal idioventricular rhythm,8,0.0,1,0,0
extensive st-t changes are probably due to cardiac surgery,8,0.0,0,0,1
recent lateral infarct,8,0.0,1,0,0
"nonspecific st depression, anterolateral lds",8,0.0,0,0,1
changes are abnormal for age and sex. interpret together with clinical data,8,0.0,0,1,0
lead(s) avf were not used for morphology analysis,8,0.0,0,1,0
ant/septal+lateral st-t changes suggest myocardial infarction,8,0.0,1,0,1
atrial flutter with rapid ventricular response with frequent multifocal pvcs or aberrant ventricular conduction,8,0.0,1,0,1
possible atrial flutter with rapid ventricular response with multifocal pvcs or aberrant ventricular conduction,8,0.0,1,0,1
atrial flutter with bigeminal pvcs or aberrant ventricular conduction.,8,0.0,1,0,1
q waves in anterior leads,8,0.0,0,0,1
inferior and ant/septal st-t changes are abnormal,8,0.0,1,0,1
q in inferior + septal leads,8,0.0,0,0,1
lead(s) unsuitable for analysis: iii avl v1 v3,8,0.0,0,1,0
probable atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia,8,0.0,1,0,0
